,Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_CAD_Billion
0,JPMorgan Chase,432.92,351.31,411.71,563.62
1,Bank of America,231.52,187.88,220.18,301.42
2,Industrial and Commercial Bank of China,194.56,157.89,185.03,253.3
3,Agricultural Bank of China,160.68,130.39,152.81,209.19
4,HDFC Bank,157.91,128.14,150.17,205.58
5,Wells Fargo,155.87,126.49,148.23,202.93
6,HSBC Holdings PLC,148.9,120.83,141.6,193.85
7,Morgan Stanley,140.83,114.28,133.93,183.35
8,China Construction Bank,139.82,113.46,132.97,182.03
9,Bank of China,136.81,111.02,130.11,178.11
